false_positive_rate,M_0_macro_true_positive_rate,M_0_micro_true_positive_rate,M_1_macro_true_positive_rate,M_1_micro_true_positive_rate,M_rand_macro_true_positive_rate,M_rand_micro_true_positive_rate
0.075,0.7936661833997825,0.7912912912912913,0.7982964842334179,0.7912912912912913,0.7880482058716927,0.7912912912912913
0.076,0.7950706777818051,0.7927927927927928,0.7999093874592244,0.7912912912912913,0.7880482058716927,0.7912912912912913
0.077,0.8011054729974629,0.7927927927927928,0.8013138818412469,0.7912912912912913,0.7880482058716927,0.8018018018018018
0.078,0.8027183762232692,0.7957957957957958,0.8013138818412469,0.7942942942942943,0.7894527002537151,0.8018018018018018
0.079,0.8027183762232692,0.7957957957957958,0.8027183762232692,0.7957957957957958,0.7908571946357377,0.8048048048048048
0.08,0.8027183762232692,0.7987987987987988,0.8085447625951432,0.8033033033033034,0.7950706777818051,0.8048048048048048
0.081,0.8075570859006886,0.7987987987987988,0.8113537513591882,0.8033033033033034,0.79787966654585,0.8078078078078078
0.082,0.8103660746647336,0.8033033033033034,0.8129666545849945,0.8048048048048048,0.79787966654585,0.8123123123123123
0.083,0.8131750634287785,0.8033033033033034,0.817388546574846,0.8108108108108109,0.8043312794490758,0.8138138138138138
0.084,0.814579557810801,0.8033033033033034,0.817388546574846,0.8123123123123123,0.8105744835085176,0.8138138138138138
0.085,0.8159840521928234,0.8078078078078078,0.817388546574846,0.8183183183183184,0.8105744835085176,0.8153153153153153
0.08600000000000001,0.81759695541863,0.8078078078078078,0.8187930409568684,0.8183183183183184,0.815204784342153,0.8168168168168168
0.08700000000000001,0.8204059441826749,0.8123123123123123,0.8234233417905038,0.8183183183183184,0.8166092787241754,0.8198198198198198
0.088,0.8204059441826749,0.8138138138138138,0.8234233417905038,0.8228228228228228,0.8166092787241754,0.8213213213213213
0.089,0.8204059441826749,0.8183183183183184,0.8248278361725263,0.8228228228228228,0.8224356650960493,0.8213213213213213
0.09,0.8236317506342878,0.8183183183183184,0.8294581370061617,0.8243243243243243,0.8224356650960493,0.8228228228228228
0.091,0.8250362450163102,0.8183183183183184,0.8310710402319681,0.8288288288288288,0.8284704603117071,0.8243243243243243
0.092,0.8294581370061617,0.8213213213213213,0.8324755346139906,0.8288288288288288,0.8359097499093875,0.8258258258258259
0.093,0.8324755346139906,0.8243243243243243,0.8338800289960131,0.8288288288288288,0.8401232330554549,0.8258258258258259
0.094,0.8338800289960131,0.8258258258258259,0.8354929322218194,0.8288288288288288,0.8401232330554549,0.8258258258258259
0.095,0.8352845233780355,0.8288288288288288,0.8354929322218194,0.8288288288288288,0.8415277274374773,0.8273273273273273
0.096,0.8423069952881479,0.8303303303303303,0.8403316418992388,0.8288288288288288,0.8431406306632838,0.8288288288288288
0.097,0.8483417905038058,0.8303303303303303,0.8403316418992388,0.8303303303303303,0.8445451250453062,0.8288288288288288
0.098,0.8511507792678507,0.8348348348348348,0.8503715114171801,0.8303303303303303,0.8503715114171801,0.8318318318318318
0.099,0.8511507792678507,0.8348348348348348,0.8566147154766219,0.8333333333333334,0.8547934034070315,0.8318318318318318
0.1,0.8511507792678507,0.8378378378378378,0.8610366074664733,0.8348348348348348,0.856406306632838,0.8318318318318318
0.101,0.8511507792678507,0.8423423423423423,0.8652500906125408,0.8348348348348348,0.8580192098586444,0.8333333333333334
0.10200000000000001,0.858798477709315,0.8423423423423423,0.8666545849945633,0.8453453453453453,0.8580192098586444,0.8363363363363363
0.10300000000000001,0.8630119608553823,0.8423423423423423,0.8722725625226531,0.8453453453453453,0.8580192098586444,0.8393393393393394
0.10400000000000001,0.8660293584632113,0.8438438438438438,0.8722725625226531,0.8453453453453453,0.8610366074664733,0.8423423423423423
0.105,0.8674338528452338,0.8438438438438438,0.875289960130482,0.8498498498498499,0.8610366074664733,0.8438438438438438
0.106,0.8690467560710402,0.8438438438438438,0.875289960130482,0.8528528528528528,0.8624411018484959,0.8438438438438438
0.107,0.8690467560710402,0.8453453453453453,0.875289960130482,0.8573573573573574,0.8640540050743023,0.8438438438438438
0.108,0.8736770569046756,0.8468468468468469,0.875289960130482,0.8588588588588588,0.8670714026821311,0.8453453453453453
0.109,0.8736770569046756,0.8468468468468469,0.8769028633562885,0.8588588588588588,0.8684758970641537,0.8453453453453453
0.11,0.8750815512866981,0.8468468468468469,0.8769028633562885,0.8588588588588588,0.8698803914461761,0.8453453453453453
0.111,0.8750815512866981,0.8483483483483484,0.8769028633562885,0.8633633633633634,0.8712848858281986,0.8453453453453453
0.112,0.8750815512866981,0.8498498498498499,0.8769028633562885,0.8663663663663663,0.8743022834360276,0.8453453453453453
0.113,0.8750815512866981,0.8513513513513513,0.8769028633562885,0.8693693693693694,0.8757067778180501,0.8468468468468469
0.114,0.8766944545125046,0.8543543543543544,0.8769028633562885,0.8738738738738738,0.8771112722000725,0.8483483483483484
0.115,0.8783073577383109,0.8573573573573574,0.8769028633562885,0.8738738738738738,0.8771112722000725,0.8483483483483484
0.116,0.8783073577383109,0.8588588588588588,0.8769028633562885,0.8753753753753754,0.8771112722000725,0.8483483483483484
0.117,0.8783073577383109,0.8588588588588588,0.8783073577383109,0.8768768768768769,0.878724175425879,0.8483483483483484
0.11800000000000001,0.8783073577383109,0.8588588588588588,0.8783073577383109,0.8768768768768769,0.8801286698079014,0.8498498498498499
0.11900000000000001,0.8815331641899239,0.8588588588588588,0.8783073577383109,0.8768768768768769,0.8801286698079014,0.8513513513513513
0.12,0.8829376585719464,0.8588588588588588,0.8783073577383109,0.8768768768768769,0.8801286698079014,0.8543543543543544
0.121,0.8829376585719464,0.8618618618618619,0.8783073577383109,0.8768768768768769,0.8801286698079014,0.8558558558558559
0.122,0.8861634650235592,0.8618618618618619,0.8783073577383109,0.8783783783783784,0.8831460674157303,0.8573573573573574
0.123,0.8875679594055818,0.8618618618618619,0.8815331641899239,0.8813813813813813,0.8831460674157303,0.8573573573573574
0.124,0.8875679594055818,0.8633633633633634,0.8815331641899239,0.8813813813813813,0.8831460674157303,0.8573573573573574
0.125,0.8875679594055818,0.8633633633633634,0.8831460674157303,0.8813813813813813,0.8845505617977528,0.8588588588588588
0.126,0.8907937658571947,0.8648648648648649,0.8845505617977528,0.8813813813813813,0.8859550561797753,0.8618618618618619
0.127,0.8907937658571947,0.8663663663663663,0.8845505617977528,0.8828828828828829,0.8859550561797753,0.8663663663663663
