averaging,model,false_positive_rate,mean_true_positive_rate,ci95_low,ci95_high,run_count
macro,M_0,0.202,0.8908849655607121,0.8238205936162681,0.957949337505156,10
macro,M_0,0.203,0.8912301349093956,0.8243537875362408,0.9581064822825505,10
macro,M_0,0.204,0.8919214325528027,0.8255665242863678,0.9582763408192375,10
macro,M_0,0.205,0.8925334150776291,0.8262642495880337,0.9588025805672244,10
macro,M_0,0.206,0.8929041250286417,0.8267075858082187,0.9591006642490647,10
macro,M_0,0.207,0.8931595922811439,0.8270216251153781,0.9592975594469098,10
macro,M_0,0.208,0.8937865325057375,0.8280556795686059,0.959517385442869,10
macro,M_0,0.209,0.8941248793310981,0.8285804153932415,0.9596693432689547,10
macro,M_0,0.21,0.894427797634011,0.829350458749863,0.959505136518159,10
macro,M_0,0.211,0.8949730036208798,0.8300461443211311,0.9598998629206286,10
macro,M_0,0.212,0.8952826248629616,0.8306803535485244,0.9598848961773988,10
macro,M_0,0.213,0.8954996576316205,0.8308438848557396,0.9601554304075015,10
macro,M_0,0.214,0.8956609479542011,0.8309397143747971,0.9603821815336052,10
macro,M_0,0.215,0.8963518057121729,0.8321468308281315,0.9605567805962143,10
macro,M_0,0.216,0.8964238518216827,0.8322132140618898,0.9606344895814757,10
macro,M_0,0.217,0.8965514028420911,0.8323035276919896,0.9607992779921927,10
macro,M_0,0.218,0.8970811017351948,0.8330033987761871,0.9611588046942026,10
macro,M_0,0.219,0.8977577952596485,0.8338707708609392,0.9616448196583578,10
macro,M_0,0.22,0.8983788489110337,0.8343580617780854,0.962399636043982,10
macro,M_0,0.221,0.898597180179794,0.8345975593980194,0.9625968009615685,10
macro,M_0,0.222,0.8989671335350222,0.8348316784313704,0.963102588638674,10
macro,M_0,0.223,0.8998089993053014,0.8360933440096141,0.9635246546009888,10
macro,M_0,0.224,0.9005230200363513,0.8371316041378657,0.9639144359348369,10
macro,M_0,0.225,0.9009498910644533,0.8378951002907604,0.9640046818381462,10
macro,M_0,0.226,0.9010498910644532,0.8380550091046117,0.9640447730242947,10
macro,M_0,0.227,0.9011774420848615,0.8381423547884131,0.9642125293813099,10
macro,M_0,0.228,0.901550400283263,0.8386231183281769,0.9644776822383492,10
macro,M_0,0.229,0.9018961081960246,0.8388881541691453,0.9649040622229039,10
macro,M_0,0.23,0.902687504518074,0.839993999744649,0.9653810092914991,10
macro,M_0,0.231,0.9030163704974555,0.8404959716762813,0.9655367693186298,10
macro,M_0,0.232,0.9032794780866122,0.8410113666273769,0.9655475895458476,10
macro,M_0,0.233,0.9034884189173242,0.8411414178065852,0.9658354200280632,10
macro,M_0,0.234,0.9035440982046294,0.841221265273403,0.9658669311358559,10
macro,M_0,0.235,0.9038841823625186,0.8415903658289414,0.9661779988960957,10
macro,M_0,0.236,0.9047598931999513,0.8422847441494137,0.967235042250489,10
macro,M_0,0.237,0.9048504990718964,0.8423762629253081,0.9673247352184847,10
macro,M_0,0.238,0.9053454342542901,0.8433082123965053,0.967382656112075,10
macro,M_0,0.239,0.9057913330023304,0.8438055836238231,0.9677770823808377,10
macro,M_0,0.24,0.9059452749571069,0.844201656887219,0.9676888930269947,10
macro,M_0,0.241,0.9064448761960954,0.8452354428817079,0.9676543095104828,10
macro,M_0,0.242,0.9065911613553455,0.8454071465227765,0.9677751761879144,10
macro,M_0,0.243,0.9067817672272908,0.8456556262724894,0.9679079081820922,10
macro,M_0,0.244,0.9071290062428984,0.846511350140362,0.9677466623454347,10
macro,M_0,0.245,0.9075009307136213,0.8470150586578985,0.967986802769344,10
macro,M_0,0.246,0.907741653516269,0.8475283834069772,0.9679549236255608,10
macro,M_0,0.247,0.9082161982299434,0.848004927825337,0.9684274686345498,10
macro,M_0,0.248,0.9085970071037519,0.8484263031182381,0.9687677110892657,10
macro,M_0,0.249,0.9087979191926434,0.8486746640225752,0.9689211743627116,10
macro,M_0,0.25,0.9092225449280674,0.8495818389887148,0.9688632508674201,10
macro,M_0,0.251,0.9095706930778558,0.8500957221675927,0.9690456639881189,10
macro,M_0,0.252,0.9100666566482033,0.8509369959835092,0.9691963173128973,10
macro,M_0,0.253,0.9102387027577133,0.8511582188033148,0.9693191867121119,10
macro,M_0,0.254,0.9103096247435291,0.8512053629452351,0.969413886541823,10
macro,M_0,0.255,0.9109838317464195,0.8519504998324176,0.9700171636604215,10
macro,M_0,0.256,0.9114868084394988,0.8528276160813116,0.970146000797686,10
macro,M_0,0.257,0.9115986652627651,0.8531572543026155,0.9700400762229148,10
macro,M_0,0.258,0.9117809458231909,0.8533616241630805,0.9702002674833013,10
macro,M_0,0.259,0.9123122349515542,0.854277171198272,0.9703472987048365,10
macro,M_0,0.26,0.9126894611155271,0.8548960450006295,0.9704828772304246,10
macro,M_0,0.261,0.9126894611155271,0.8548960450006295,0.9704828772304246,10
macro,M_0,0.262,0.9131306693971106,0.8554335517534706,0.9708277870407507,10
macro,M_0,0.263,0.9133888113796272,0.8559327401500957,0.9708448826091588,10
macro,M_0,0.264,0.9135874587622581,0.8561199528664576,0.9710549646580586,10
macro,M_0,0.265,0.9139013488433994,0.8564280306550455,0.9713746670317532,10
macro,M_0,0.266,0.9139199086058344,0.8564544201007613,0.9713853971109074,10
macro,M_0,0.267,0.9144297935805558,0.8572797924207648,0.9715797947403467,10
macro,M_0,0.268,0.9148933217946794,0.8578082287343849,0.9719784148549739,10
macro,M_0,0.269,0.9153824183216113,0.8583988374244842,0.9723659992187383,10
macro,M_0,0.27,0.9157415141604854,0.8594338016914272,0.9720492266295436,10
macro,M_0,0.271,0.9158681154336061,0.859557398753405,0.9721788321138073,10
macro,M_0,0.272,0.9164744608730698,0.8606514675335794,0.9722974542125603,10
macro,M_0,0.273,0.9164930206355049,0.8606778069614096,0.9723082343096001,10
macro,M_0,0.274,0.9167523032005876,0.8612173325945666,0.9722872738066087,10
macro,M_0,0.275,0.9173337377054281,0.8622551118533739,0.9724123635574824,10
macro,M_0,0.276,0.917433737705428,0.8624110339722796,0.9724564414385765,10
macro,M_0,0.277,0.9180004563917512,0.8630925032380349,0.9729084095454675,10
macro,M_0,0.278,0.9180375759166213,0.8631453589846373,0.9729297928486053,10
macro,M_0,0.279,0.9183612895631537,0.8639629364676882,0.9727596426586191,10
macro,M_0,0.28,0.9188237487960584,0.8647302733545987,0.9729172242375181,10
macro,M_0,0.281,0.919151743947855,0.8652410163344553,0.9730624715612548,10
macro,M_0,0.282,0.9193356468806313,0.865631080990146,0.9730402127711166,10
macro,M_0,0.283,0.919534056728082,0.8657720990581212,0.9732960143980427,10
macro,M_0,0.284,0.9197763301370495,0.8664606325908216,0.9730920276832774,10
macro,M_0,0.285,0.9203996741476466,0.8680507667266347,0.9727485815686584,10
macro,M_0,0.286,0.9206791485590082,0.8685391113458414,0.9728191857721751,10
macro,M_0,0.287,0.9209400632079351,0.8691100487144165,0.9727700777014536,10
macro,M_0,0.288,0.9215034405520731,0.8701405358968296,0.9728663452073166,10
macro,M_0,0.289,0.9215591198393781,0.8702217351999455,0.9728965044788107,10
macro,M_0,0.29,0.9218372325918655,0.8706509736397867,0.9730234915439442,10
macro,M_0,0.291,0.9220848330229107,0.8707741730367922,0.9733954930090292,10
macro,M_0,0.292,0.9223629457753978,0.8712007073646436,0.973525184186152,10
macro,M_0,0.293,0.9224629457753979,0.871358231733798,0.9735676598169978,10
macro,M_0,0.294,0.9227489303773779,0.8718481548827692,0.9736497058719866,10
macro,M_0,0.295,0.9231976549321178,0.8722952327595452,0.9741000771046904,10
macro,M_0,0.296,0.9234495511266434,0.8724603576258587,0.9744387446274281,10
macro,M_0,0.297,0.9240206007479644,0.8732674220608234,0.9747737794351055,10
macro,M_0,0.298,0.9246096964014079,0.8743870472516743,0.9748323455511415,10
macro,M_0,0.299,0.9250107201504092,0.8748845831993225,0.9751368571014959,10
macro,M_0,0.3,0.925190807770605,0.8750381244424003,0.9753434910988098,10
macro,M_0,0.301,0.9258060690531726,0.8757375973936742,0.9758745407126711,10
macro,M_0,0.302,0.926148879547366,0.8765336187164516,0.9757641403782804,10
macro,M_0,0.303,0.9262607363706321,0.8768619362374168,0.9756595365038474,10
macro,M_0,0.304,0.9265708140939038,0.8773336248180268,0.9758080033697809,10
macro,M_0,0.305,0.9269197904420402,0.8780293490901256,0.9758102317939548,10
macro,M_0,0.306,0.927009272190291,0.8781009853029803,0.9759175590776016,10
macro,M_0,0.307,0.9272887405793109,0.8784030480756283,0.9761744330829935,10
macro,M_0,0.308,0.9275339016148665,0.8787104286668809,0.9763573745628521,10
macro,M_0,0.309,0.9281037212756356,0.8795706821941223,0.9766367603571489,10
macro,M_0,0.31,0.9284818747056824,0.879930968061055,0.9770327813503099,10
macro,M_0,0.311,0.9289523938214164,0.8804280390813356,0.9774767485614971,10
macro,M_0,0.312,0.9289523938214164,0.8804280390813356,0.9774767485614971,10
macro,M_0,0.313,0.9291799448418244,0.8806709809291736,0.9776889087544752,10
macro,M_0,0.314,0.9297788108763354,0.8812852764047852,0.9782723453478857,10
macro,M_0,0.315,0.9301124557361484,0.8821290744465883,0.9780958370257086,10
macro,M_0,0.316,0.9301845018456586,0.8821825036639909,0.9781865000273263,10
macro,M_0,0.317,0.9304704864476386,0.8826667810694379,0.9782741918258394,10
macro,M_0,0.318,0.9305599681958894,0.8827376236920216,0.9783823126997572,10
macro,M_0,0.319,0.9306680097065749,0.8828355944986634,0.9785004249144864,10
macro,M_0,0.32,0.9313152073438002,0.8836468004539574,0.9789836142336431,10
macro,M_0,0.321,0.9315165459153171,0.8840483526995052,0.9789847391311289,10
macro,M_0,0.322,0.9315165459153171,0.8840483526995052,0.9789847391311289,10
macro,M_0,0.323,0.9318483010725354,0.8848081897064511,0.9788884124386196,10
macro,M_0,0.324,0.9322673233538789,0.8852717568696215,0.9792628898381363,10
macro,M_0,0.325,0.9323939246269995,0.8853950340965652,0.9793928151574339,10
macro,M_0,0.326,0.9325400354098428,0.8855127405618934,0.9795673302577921,10
macro,M_0,0.327,0.9328301917118049,0.885779149530977,0.9798812338926328,10
macro,M_0,0.328,0.9333472062730037,0.8863391270388987,0.9803552855071087,10
macro,M_0,0.329,0.93379474367493,0.8869627907419315,0.9806266966079284,10
macro,M_0,0.33,0.9339027851856155,0.8870584658062092,0.9807471045650219,10
macro,M_0,0.331,0.9340213449480507,0.8872378762695137,0.9808048136265877,10
macro,M_0,0.332,0.9343237565401609,0.8874791504707832,0.9811683626095385,10
