run,false_positive_rate,M_0_macro_true_positive_rate,M_0_micro_true_positive_rate,M_1_macro_true_positive_rate,M_1_micro_true_positive_rate,M_rand_macro_true_positive_rate,M_rand_micro_true_positive_rate
1,0.1,0.6911037463976946,0.6835891381345927,0.7783631123919308,0.7697756788665879,0.5994985590778098,0.5832349468713105
1,0.101,0.6911037463976946,0.6835891381345927,0.7783631123919308,0.7709563164108618,0.6004985590778098,0.5855962219598583
1,0.102,0.6911037463976946,0.6859504132231405,0.7783631123919308,0.7709563164108618,0.6014985590778098,0.5855962219598583
1,0.103,0.6911037463976946,0.6871310507674144,0.7828040345821325,0.7733175914994097,0.6024985590778098,0.5879574970484062
1,0.104,0.6935446685878963,0.6883116883116883,0.7842449567723343,0.7733175914994097,0.6044985590778098,0.5914994096812278
1,0.105,0.694985590778098,0.6894923258559622,0.7842449567723343,0.7744982290436836,0.6044985590778098,0.5926800472255017
1,0.106,0.6959855907780981,0.6906729634002361,0.7876858789625361,0.7756788665879575,0.6079394812680116,0.5962219598583235
1,0.107,0.6959855907780981,0.6942148760330579,0.7876858789625361,0.7768595041322314,0.6079394812680116,0.5962219598583235
1,0.108,0.6998674351585015,0.6977567886658795,0.7911268011527377,0.7792207792207793,0.6089394812680116,0.5997638724911453
1,0.109,0.7027492795389049,0.6989374262101535,0.7911268011527377,0.7792207792207793,0.6089394812680116,0.602125147579693
1,0.11,0.7051902017291066,0.7001180637544274,0.7911268011527377,0.7804014167650531,0.6089394812680116,0.6033057851239669
1,0.111,0.7081902017291066,0.7012987012987013,0.7911268011527377,0.7827626918536009,0.6123804034582132,0.6044864226682408
1,0.112,0.7096311239193083,0.7012987012987013,0.7921268011527377,0.7827626918536009,0.6143804034582132,0.6068476977567887
1,0.113,0.7106311239193084,0.7036599763872491,0.7935677233429395,0.7827626918536009,0.6143804034582132,0.6080283353010626
1,0.114,0.7156311239193083,0.7083825265643447,0.7935677233429395,0.7839433293978748,0.6153804034582133,0.6080283353010626
1,0.115,0.7176311239193083,0.7083825265643447,0.7935677233429395,0.7863046044864227,0.616821325648415,0.6080283353010626
1,0.116,0.72007204610951,0.7095631641086186,0.7974495677233429,0.7910271546635183,0.616821325648415,0.6092089728453365
1,0.117,0.7215129682997118,0.7095631641086186,0.7988904899135447,0.7922077922077922,0.6197031700288185,0.6115702479338843
1,0.118,0.7225129682997118,0.7131050767414404,0.7988904899135447,0.7957497048406139,0.6217031700288185,0.615112160566706
1,0.119,0.7239538904899135,0.7142857142857143,0.7998904899135446,0.7969303423848878,0.6217031700288185,0.615112160566706
1,0.12,0.7273948126801153,0.7142857142857143,0.8008904899135447,0.7981109799291618,0.6241440922190202,0.6162927981109799
1,0.121,0.7273948126801153,0.7142857142857143,0.8043314121037464,0.7981109799291618,0.6251440922190201,0.6162927981109799
1,0.122,0.7302766570605187,0.7154663518299882,0.8063314121037464,0.8016528925619835,0.6261440922190202,0.6162927981109799
1,0.123,0.7302766570605187,0.7166469893742621,0.8063314121037464,0.8028335301062574,0.6261440922190202,0.6174734356552538
1,0.124,0.7332766570605187,0.7166469893742621,0.8093314121037464,0.8040141676505312,0.6271440922190201,0.6186540731995277
1,0.125,0.7332766570605187,0.71900826446281,0.8103314121037464,0.8040141676505312,0.6295850144092219,0.6186540731995277
1,0.126,0.7342766570605187,0.7213695395513577,0.8133314121037464,0.8040141676505312,0.6295850144092219,0.6186540731995277
1,0.127,0.7352766570605187,0.7260920897284534,0.8133314121037464,0.8051948051948052,0.6295850144092219,0.6186540731995277
1,0.128,0.7372766570605187,0.730814639905549,0.8143314121037464,0.807556080283353,0.6310259365994236,0.6186540731995277
1,0.129,0.7372766570605187,0.730814639905549,0.8143314121037464,0.8099173553719008,0.6310259365994236,0.6210153482880756
