lambda,selected_data_weight,C,selection_k_per_class,macro_auc_mean,macro_auc_std,fold_count,micro_auc_mean,micro_auc_std,mean_selected_count,macro_auc_se,micro_auc_se,complete_cv
0.001,1.0,10.0,40,0.9846795191741098,0.005294847491633583,3,0.9847535837090425,0.005060552994652058,79.0,0.003056981624612664,0.0029217116337107328,True
0.005,0.1,10.0,40,0.9846691039721666,0.0059243859819260395,3,0.9846664771443713,0.005739173899734297,80.0,0.0034204458414482447,0.003313513595937671,True
0.025,10.0,0.001,40,0.9843632642896175,0.004772972460358249,3,0.9840908475954185,0.005246311020529248,80.0,0.0027556769348225057,0.0030289590799550616,True
0.001,0.1,10.0,40,0.9842591452361694,0.0059201516950675185,3,0.9843931875804609,0.005620929361040861,79.0,0.003418001174790651,0.003245245079692812,True
0.005,0.01,10.0,40,0.9841661977389092,0.006294005581661849,3,0.9840757155777231,0.006248843106457582,80.0,0.0036338458168534756,0.0036077712496370225,True
0.01,0.1,10.0,40,0.9840810050123827,0.006845435123677191,3,0.9841155560507784,0.006632634470339545,80.0,0.0039522138113751454,0.0038293532968869276,True
0.001,0.01,10.0,40,0.9840441290368128,0.005838813381889934,3,0.9839613290573052,0.005743653034337358,79.0,0.0033710404777821425,0.0033160996255064846,True
0.01,1.0,10.0,40,0.9840149455662753,0.0070348236678949485,3,0.9840947612642856,0.006877614308558077,80.0,0.004061557338360699,0.003970792472428428,True
0.0001,10.0,0.0001,40,0.9839734379293907,0.0036372669226067546,3,0.9838817056077396,0.003455504326771387,45.666666666666664,0.0020999770368815315,0.001995036353247377,True
0.001,10.0,10.0,40,0.9836579848627318,0.00452924321340003,3,0.9829912957778794,0.004585551623358823,79.0,0.002614959788481793,0.002647469464129142,True
0.01,10.0,10.0,40,0.9835581087989745,0.006627957254218848,3,0.9834363973985362,0.006724363855237609,80.0,0.003826652904900585,0.003882313281950423,True
0.0001,1.0,0.0001,40,0.9834410988864027,0.005458907981225694,3,0.9830714860321911,0.005462219472316271,45.666666666666664,0.0031517019924420515,0.003153613882714615,True
0.0001,1.0,10.0,40,0.983254670231902,0.0061414771884126034,3,0.9831639828419192,0.006108747725804085,55.666666666666664,0.003545783507951963,0.0035268871439045027,True
0.01,0.01,10.0,40,0.9831286371701823,0.007408187237121189,3,0.9831852327770086,0.007173859614416831,80.0,0.004277118895559069,0.004141829779512143,True
0.0001,0.01,10.0,40,0.9831198618590588,0.007323288539273343,3,0.982955184947305,0.007079301205317797,55.666666666666664,0.004228102609502766,0.0040872364565646725,True
0.025,0.01,10.0,40,0.9830254349570339,0.006806396773913049,3,0.9830118922172787,0.0067968078685996716,80.0,0.003929675009630099,0.0039241388525661875,True
0.0001,0.1,10.0,40,0.9830131509209878,0.006410688573672911,3,0.9828448282181603,0.006290158964722542,55.666666666666664,0.0037012127737009134,0.0036316249715280975,True
