data_seed,selection_grid,fold,lambda,selected_data_weight,C,selected_count,selection_k_per_class,evaluated_class_count,macro_auc,micro_auc
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,0.01,10.0,80,40,2,0.9819731133093818,0.9810605367908368
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,0.1,10.0,80,40,2,0.9838329336633715,0.9832184286402236
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.005,1.0,10.0,80,40,2,0.98449543255588,0.9841693640314784
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,0.01,10.0,80,40,2,0.9818995023213252,0.9810483453114618
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,0.1,10.0,80,40,2,0.9836971157027083,0.98305384366866
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.01,1.0,10.0,80,40,2,0.984271022422498,0.9838767685264768
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,0.01,10.0,80,40,2,0.9798974680281202,0.9792561978433274
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,0.1,10.0,80,40,2,0.9799350783852212,0.9793903041164528
2048454563,20|40|60|80|100|120|140|160|180|200,2,0.025,1.0,10.0,80,40,2,0.9799254629543775,0.979195240446452
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,0.01,0.0001,79,40,2,0.9810757325947406,0.9811353060238608
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,0.1,0.0001,79,40,2,0.9811248420819512,0.981178110840014
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,1.0,0.0001,79,40,2,0.9816417802681952,0.9818079531348411
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,0.01,0.0001,80,40,2,0.9810144594331272,0.981110846128916
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,0.1,0.0001,80,40,2,0.9808802042250973,0.9809640867592472
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,1.0,0.0001,80,40,2,0.9798546656619352,0.97974109201201
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,0.01,0.0001,80,40,2,0.9810872898830106,0.981116961102652
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,0.1,0.0001,80,40,2,0.9808190826600168,0.9808662471794684
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,1.0,0.0001,80,40,2,0.9793640255794284,0.97922743421817
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,0.01,0.0001,80,40,2,0.9810021441621912,0.9810313514703454
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,0.1,0.0001,80,40,2,0.9808064641960146,0.9808295573370512
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,1.0,0.0001,80,40,2,0.9794240859687762,0.9794353433252004
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,0.01,0.001,80,40,2,0.9849917574628038,0.985256798322051
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,0.1,0.001,80,40,2,0.9851019885150948,0.9853546379018304
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,1.0,0.001,80,40,2,0.9854675051333104,0.9859111005118232
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,0.01,0.001,80,40,2,0.9850042243302728,0.9852996031382044
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,0.1,0.001,80,40,2,0.9850411701430808,0.9853179480594132
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,1.0,0.001,80,40,2,0.9850179039700075,0.9853301780068856
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,0.01,0.001,80,40,2,0.984967278517465,0.9852629132957872
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,0.1,0.001,80,40,2,0.9849797453849342,0.9852567983220512
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,1.0,0.001,80,40,2,0.9850910376129574,0.9852262234533702
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,0.01,0.001,80,40,2,0.9850407153534813,0.9852690282695236
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,0.1,0.001,80,40,2,0.9850530306244172,0.985281258216996
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,1.0,0.001,80,40,2,0.9847237018363432,0.9848715549766712
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,0.01,0.01,80,40,2,0.9863983114423146,0.9865287128591782
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,0.1,0.01,80,40,2,0.9863984630388476,0.9865409428066506
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,1.0,0.01,80,40,2,0.9863488987620376,0.9866448973601658
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,0.01,0.01,80,40,2,0.9863987662319142,0.9865348278329144
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,0.1,0.01,80,40,2,0.9864725062609968,0.9866020925440124
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,1.0,0.01,80,40,2,0.9868504897466815,0.9869689909681838
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,0.01,0.01,80,40,2,0.9864112330993832,0.9865287128591782
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,0.1,0.01,80,40,2,0.9864113846959166,0.9865776326490676
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,1.0,0.01,80,40,2,0.9866684894202398,0.9868038866773068
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,0.01,0.01,80,40,2,0.9863867541540444,0.9865103679379696
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,0.1,0.01,80,40,2,0.986423396773786,0.9865592877278592
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,1.0,0.01,80,40,2,0.9866193799330292,0.9867855417560982
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,0.01,0.1,80,40,2,0.983590660958488,0.983850354362728
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,0.1,0.1,80,40,2,0.9837846733627994,0.9840827233647031
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,1.0,0.1,80,40,2,0.9840493938655296,0.9844740816838192
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,0.01,0.1,80,40,2,0.9836274551747628,0.9838931591788812
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,0.1,0.1,80,40,2,0.9838593229710813,0.9841255281808564
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,1.0,0.1,80,40,2,0.9842382160359652,0.984535231421181
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,0.01,0.1,80,40,2,0.983627758367829,0.9838809292314088
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,0.1,0.1,80,40,2,0.9838842567060196,0.9841561030495374
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,1.0,0.1,80,40,2,0.9842132823010268,0.9844496217888744
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,0.01,0.1,80,40,2,0.9835299941830074,0.9838014345728384
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,0.1,0.1,80,40,2,0.9836155946934262,0.9838809292314088
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,1.0,0.1,80,40,2,0.9837877052934634,0.9840949533121754
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,0.01,1.0,80,40,2,0.9810738774845952,0.9816734237126452
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,0.1,1.0,80,40,2,0.9820738759266864,0.9826946243265884
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,1.0,1.0,80,40,2,0.9823153302563432,0.9831471323830664
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,0.01,1.0,80,40,2,0.9811714900728838,0.9816734237126452
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,0.1,1.0,80,40,2,0.9818702769890364,0.9822604611913192
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,1.0,1.0,80,40,2,0.9822363999933847,0.9825967847468096
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,0.01,1.0,80,40,2,0.9811959690182226,0.9816734237126452
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,0.1,1.0,80,40,2,0.9819916105399976,0.9822788061125278
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,1.0,1.0,80,40,2,0.9821612955955036,0.982480600245822
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,0.01,1.0,80,40,2,0.9811959690182226,0.9816245039227556
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,0.1,1.0,80,40,2,0.9816612205761914,0.9820158622418717
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,1.0,1.0,80,40,2,0.9815996442215116,0.9820158622418717
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,0.01,10.0,79,40,2,0.9790246554684164,0.9794934355756942
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,0.1,10.0,79,40,2,0.9782951381973172,0.978897225636416
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.001,1.0,10.0,79,40,2,0.9791053869138996,0.97954847033932
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,0.01,10.0,80,40,2,0.9792621323364632,0.9799061963028868
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,0.1,10.0,80,40,2,0.9792072262292442,0.9797900118018992
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.005,1.0,10.0,80,40,2,0.9792671709738058,0.979686057248384
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,0.01,10.0,80,40,2,0.9764118910163536,0.9773226198993474
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,0.1,10.0,80,40,2,0.9774355924452436,0.9780778191557666
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.01,1.0,10.0,80,40,2,0.9768555799148616,0.9773287348730838
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,0.01,10.0,80,40,2,0.9783453088602602,0.9789216855313608
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,0.1,10.0,80,40,2,0.9768871838972604,0.9774846667033564
2048454563,20|40|60|80|100|120|140|160|180|200,3,0.025,1.0,10.0,80,40,2,0.9780135545276551,0.9785394996728488
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.0001,0.01,0.0001,47,40,2,0.988848902922182,0.988551051051051
2048454563,20|40|60|80|100|120|140|160|180|200,1,0.0001,0.1,0.0001,47,40,2,0.98893443963676,0.9885934321418192
